Date	Price	
10/17/2018	79.4
10/18/2018	79.15
10/19/2018	79.3
10/22/2018	79.2
10/23/2018	77.75
10/24/2018	77.4
10/25/2018	75.5
10/26/2018	75.4
10/29/2018	75.75
10/30/2018	75.95
10/31/2018	77.55
11/01/2018	78.4
11/02/2018	78.65
11/05/2018	78.25
11/06/2018	78
11/07/2018	78.4
11/08/2018	78.85
11/09/2018	77.8
11/12/2018	78
11/13/2018	77.1
11/14/2018	77.35
11/15/2018	77.6
11/16/2018	76.95
11/19/2018	76.7
11/20/2018	76
11/21/2018	76
11/22/2018	75.6
11/23/2018	75.35
11/26/2018	76.15
11/27/2018	76.05
11/28/2018	76.9
11/29/2018	77.05
11/30/2018	76.75
12/03/2018	78.8
12/04/2018	78.25
12/05/2018	76.65
12/06/2018	75.1
12/07/2018	75.45
12/10/2018	74.45
12/11/2018	75.05
12/12/2018	76.2
12/13/2018	76.3
12/14/2018	75.35
12/17/2018	75.95
12/18/2018	75.3
12/19/2018	75.9
12/20/2018	75.05
12/21/2018	75.2
12/24/2018	74.7
12/25/2018	73.75
12/26/2018	73.55
12/27/2018	75.05
12/28/2018	75.5
01/02/2019	74.05
01/03/2019	73.35
01/04/2019	72.2
01/07/2019	73.95
01/08/2019	73.65
01/09/2019	75
